Site Name,FLUMEV3
Isco Quantity,Velocity
Label,Velocidad
Units,m/s
Resolution, 0,1 
Significant Digits,0

13/07/2023 07:52:00 p.m.,0,000
13/07/2023 07:54:00 p.m.,0,000
13/07/2023 07:56:00 p.m.,0,000
13/07/2023 07:58:00 p.m.,0,000
13/07/2023 08:00:00 p.m.,0,000
13/07/2023 08:02:00 p.m.,0,000
13/07/2023 08:04:00 p.m.,0,000
13/07/2023 08:06:00 p.m.,0,000
13/07/2023 08:08:00 p.m.,0,000
13/07/2023 08:10:00 p.m.,0,000
13/07/2023 08:12:00 p.m.,0,000
13/07/2023 08:14:00 p.m.,0,000
13/07/2023 08:16:00 p.m.,0,000
13/07/2023 08:18:00 p.m.,0,000
13/07/2023 08:20:00 p.m.,0,000
13/07/2023 08:22:00 p.m.,0,000
13/07/2023 08:24:00 p.m.,0,000
13/07/2023 08:26:00 p.m.,0,000
13/07/2023 08:28:00 p.m.,0,000
13/07/2023 08:30:00 p.m.,0,000
13/07/2023 08:32:00 p.m.,0,000
13/07/2023 08:34:00 p.m.,0,000
13/07/2023 08:36:00 p.m.,0,000
13/07/2023 08:38:00 p.m.,0,000
13/07/2023 08:40:00 p.m.,0,000
13/07/2023 08:42:00 p.m.,0,000
13/07/2023 08:44:00 p.m.,0,000
13/07/2023 08:46:00 p.m.,0,000
