"Plot Title: V3"
"#","Date Time, GMT-03:00","Volt, V (LGR S/N: 10453365, SEN S/N: 10453365)","Host Connected (LGR S/N: 10453365)","Stopped (LGR S/N: 10453365)","End Of File (LGR S/N: 10453365)"
165,10/18/19 08:24:51 PM,2.21123,,,
166,10/18/19 08:26:51 PM,2.21123,,,
167,10/18/19 08:28:51 PM,2.21123,,,
168,10/18/19 08:30:51 PM,2.21123,,,
169,10/18/19 08:32:51 PM,2.21123,,,
170,10/18/19 08:34:51 PM,2.21123,,,
171,10/18/19 08:36:51 PM,2.21123,,,
172,10/18/19 08:38:51 PM,2.21123,,,
173,10/18/19 08:40:51 PM,2.21123,,,
174,10/18/19 08:42:51 PM,2.21123,,,
175,10/18/19 08:44:51 PM,2.21123,,,
176,10/18/19 08:46:51 PM,2.21123,,,
177,10/18/19 08:48:51 PM,2.21123,,,
178,10/18/19 08:50:51 PM,2.21123,,,
179,10/18/19 08:52:51 PM,2.21123,,,
180,10/18/19 08:54:51 PM,2.21123,,,
181,10/18/19 08:56:51 PM,2.21123,,,
182,10/18/19 08:58:51 PM,2.21123,,,
183,10/18/19 09:00:51 PM,2.21123,,,
184,10/18/19 09:02:51 PM,2.21123,,,
185,10/18/19 09:04:51 PM,2.21123,,,
186,10/18/19 09:06:51 PM,2.21123,,,
187,10/18/19 09:08:51 PM,2.21123,,,
188,10/18/19 09:10:51 PM,2.21123,,,
189,10/18/19 09:12:51 PM,2.21062,,,
190,10/18/19 09:14:51 PM,2.21123,,,
191,10/18/19 09:16:51 PM,2.21123,,,
192,10/18/19 09:18:51 PM,2.21123,,,
193,10/18/19 09:20:51 PM,2.21123,,,
194,10/18/19 09:22:51 PM,2.21123,,,
195,10/18/19 09:24:51 PM,2.21123,,,
196,10/18/19 09:26:51 PM,2.21123,,,
197,10/18/19 09:28:51 PM,2.21123,,,
198,10/18/19 09:30:51 PM,2.21123,,,
199,10/18/19 09:32:51 PM,2.21123,,,
200,10/18/19 09:34:51 PM,2.21123,,,
201,10/18/19 09:36:51 PM,2.21123,,,
202,10/18/19 09:38:51 PM,2.21123,,,
203,10/18/19 09:40:51 PM,2.21062,,,
204,10/18/19 09:42:51 PM,2.21062,,,
205,10/18/19 09:44:51 PM,2.21062,,,
206,10/18/19 09:46:51 PM,2.21062,,,
207,10/18/19 09:48:51 PM,2.21062,,,
208,10/18/19 09:50:51 PM,2.21062,,,
209,10/18/19 09:52:51 PM,2.21062,,,
210,10/18/19 09:54:51 PM,2.21062,,,
211,10/18/19 09:56:51 PM,2.21062,,,
212,10/18/19 09:58:51 PM,2.21062,,,
213,10/18/19 10:00:51 PM,2.21062,,,
214,10/18/19 10:02:51 PM,2.21062,,,
215,10/18/19 10:04:51 PM,2.21062,,,
216,10/18/19 10:06:51 PM,2.21062,,,
217,10/18/19 10:08:51 PM,2.21062,,,
218,10/18/19 10:10:51 PM,2.21062,,,
219,10/18/19 10:12:51 PM,2.21062,,,
220,10/18/19 10:14:51 PM,2.21062,,,
221,10/18/19 10:16:51 PM,2.21062,,,
