Site Name,FLUMEV3
Isco Quantity,Velocity
Label,Velocidad
Units,m/s
Resolution, 0,1 
Significant Digits,0

15/06/2023 02:44:00 p.m.,0,000
15/06/2023 02:46:00 p.m.,0,000
15/06/2023 02:48:00 p.m.,0,000
15/06/2023 02:50:00 p.m.,0,000
15/06/2023 02:52:00 p.m.,0,000
15/06/2023 02:54:00 p.m.,0,000
15/06/2023 02:56:00 p.m.,0,000
15/06/2023 02:58:00 p.m.,0,000
15/06/2023 03:00:00 p.m.,0,000
15/06/2023 03:02:00 p.m.,0,000
15/06/2023 03:04:00 p.m.,0,000
15/06/2023 03:06:00 p.m.,0,000
15/06/2023 03:08:00 p.m.,0,000
15/06/2023 03:10:00 p.m.,0,000
15/06/2023 03:12:00 p.m.,0,000
15/06/2023 03:14:00 p.m.,0,000
15/06/2023 03:16:00 p.m.,0,000
15/06/2023 03:18:00 p.m.,0,000
15/06/2023 03:20:00 p.m.,0,000
15/06/2023 03:22:00 p.m.,0,000
15/06/2023 03:24:00 p.m.,0,000
15/06/2023 03:26:00 p.m.,0,000
15/06/2023 03:28:00 p.m.,0,000
15/06/2023 03:30:00 p.m.,0,000
15/06/2023 03:32:00 p.m.,0,000
15/06/2023 03:34:00 p.m.,0,000
15/06/2023 03:36:00 p.m.,0,000
15/06/2023 03:38:00 p.m.,0,000
15/06/2023 03:40:00 p.m.,0,000
15/06/2023 03:42:00 p.m.,0,000
15/06/2023 03:44:00 p.m.,0,000
15/06/2023 03:46:00 p.m.,0,000
15/06/2023 03:48:00 p.m.,0,000
15/06/2023 03:50:00 p.m.,0,000
15/06/2023 03:52:00 p.m.,0,000
15/06/2023 03:54:00 p.m.,0,000
15/06/2023 03:56:00 p.m.,0,000
15/06/2023 03:58:00 p.m.,0,000
15/06/2023 04:00:00 p.m.,0,000
15/06/2023 04:02:00 p.m.,0,000
15/06/2023 04:04:00 p.m.,0,000
15/06/2023 04:06:00 p.m.,0,000
15/06/2023 04:08:00 p.m.,0,000
15/06/2023 04:10:00 p.m.,0,000
15/06/2023 04:12:00 p.m.,0,000
15/06/2023 04:14:00 p.m.,0,000
15/06/2023 04:16:00 p.m.,0,000
15/06/2023 04:18:00 p.m.,0,000
15/06/2023 04:20:00 p.m.,0,000
15/06/2023 04:22:00 p.m.,0,000
15/06/2023 04:24:00 p.m.,0,000
15/06/2023 04:26:00 p.m.,0,000
15/06/2023 04:28:00 p.m.,0,000
15/06/2023 04:30:00 p.m.,0,000
15/06/2023 04:32:00 p.m.,0,000
15/06/2023 04:34:00 p.m.,0,000
15/06/2023 04:36:00 p.m.,0,000
15/06/2023 04:38:00 p.m.,0,000
15/06/2023 04:40:00 p.m.,0,000
15/06/2023 04:42:00 p.m.,0,000
15/06/2023 04:44:00 p.m.,0,000
15/06/2023 04:46:00 p.m.,0,000
15/06/2023 04:48:00 p.m.,0,000
15/06/2023 04:50:00 p.m.,0,000
15/06/2023 04:52:00 p.m.,0,000
15/06/2023 04:54:00 p.m.,0,000
15/06/2023 04:56:00 p.m.,0,000
15/06/2023 04:58:00 p.m.,0,000
15/06/2023 05:00:00 p.m.,0,000
15/06/2023 05:02:00 p.m.,0,000
15/06/2023 05:04:00 p.m.,0,000
15/06/2023 05:06:00 p.m.,0,000
15/06/2023 05:08:00 p.m.,0,000
15/06/2023 05:10:00 p.m.,0,000
15/06/2023 05:12:00 p.m.,0,000
15/06/2023 05:14:00 p.m.,0,000
15/06/2023 05:16:00 p.m.,0,000
15/06/2023 05:18:00 p.m.,0,000
15/06/2023 05:20:00 p.m.,0,000
15/06/2023 05:22:00 p.m.,0,000
15/06/2023 05:24:00 p.m.,0,000
15/06/2023 05:26:00 p.m.,0,000
15/06/2023 05:28:00 p.m.,0,000
15/06/2023 05:30:00 p.m.,0,000
15/06/2023 05:32:00 p.m.,0,000
15/06/2023 05:34:00 p.m.,0,000
15/06/2023 05:36:00 p.m.,0,000
15/06/2023 05:38:00 p.m.,0,000
15/06/2023 05:40:00 p.m.,0,000
15/06/2023 05:42:00 p.m.,0,000
15/06/2023 05:44:00 p.m.,0,000
15/06/2023 05:46:00 p.m.,0,000
15/06/2023 05:48:00 p.m.,0,000
15/06/2023 05:50:00 p.m.,0,000
15/06/2023 05:52:00 p.m.,0,000
15/06/2023 05:54:00 p.m.,0,000
15/06/2023 05:56:00 p.m.,0,000
15/06/2023 05:58:00 p.m.,0,000
15/06/2023 06:00:00 p.m.,0,000
15/06/2023 06:02:00 p.m.,0,000
15/06/2023 06:04:00 p.m.,0,000
15/06/2023 06:06:00 p.m.,0,000
15/06/2023 06:08:00 p.m.,0,000
15/06/2023 06:10:00 p.m.,0,000
15/06/2023 06:12:00 p.m.,0,000
15/06/2023 06:14:00 p.m.,0,000
15/06/2023 06:16:00 p.m.,0,000
15/06/2023 06:18:00 p.m.,0,000
15/06/2023 06:20:00 p.m.,0,000
15/06/2023 06:22:00 p.m.,0,000
15/06/2023 06:24:00 p.m.,0,000
