"Plot Title: r1"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10323477, SEN S/N: 10323477)","Event, units (LGR S/N: 10323477, SEN S/N: 10323477)","Coupler Attached (LGR S/N: 10323477)","Stopped (LGR S/N: 10323477)","End Of File (LGR S/N: 10323477)"
194,11/04/19 03:31:43 PM,,123.00,,,
195,11/04/19 03:35:11 PM,,124.00,,,
196,11/04/19 03:38:46 PM,,125.00,,,
197,11/04/19 03:43:14 PM,,126.00,,,
198,11/04/19 03:46:00 PM,19.567,,,,
199,11/04/19 03:48:30 PM,,127.00,,,
200,11/04/19 03:54:27 PM,,128.00,,,
201,11/04/19 03:57:56 PM,,129.00,,,
202,11/04/19 04:01:18 PM,,130.00,,,
203,11/04/19 04:04:17 PM,,131.00,,,
204,11/04/19 04:07:36 PM,,132.00,,,
205,11/04/19 04:10:30 PM,,133.00,,,
206,11/04/19 04:13:32 PM,,134.00,,,
207,11/04/19 04:15:37 PM,,135.00,,,
208,11/04/19 04:18:14 PM,,136.00,,,
209,11/04/19 04:21:06 PM,,137.00,,,
210,11/04/19 04:25:12 PM,,138.00,,,
211,11/04/19 04:31:16 PM,,139.00,,,
212,11/04/19 04:38:07 PM,,140.00,,,
213,11/04/19 04:43:52 PM,,141.00,,,
214,11/04/19 04:46:00 PM,19.472,,,,
215,11/04/19 04:54:52 PM,,142.00,,,
216,11/04/19 05:17:44 PM,,143.00,,,
217,11/04/19 05:46:00 PM,19.567,,,,
218,11/04/19 06:02:41 PM,,144.00,,,
219,11/04/19 06:10:35 PM,,145.00,,,
220,11/04/19 06:16:42 PM,,146.00,,,
221,11/04/19 06:25:42 PM,,147.00,,,
222,11/04/19 06:46:00 PM,19.377,,,,
223,11/04/19 07:46:00 PM,19.377,,,,
224,11/04/19 08:46:00 PM,19.092,,,,
225,11/04/19 09:43:51 PM,,148.00,,,
226,11/04/19 09:46:00 PM,18.901,,,,
227,11/04/19 10:46:00 PM,18.806,,,,
228,11/04/19 11:46:00 PM,18.901,,,,
229,11/04/19 11:51:58 PM,,149.00,,,
230,11/05/19 12:00:05 AM,,150.00,,,
231,11/05/19 12:11:20 AM,,151.00,,,
232,11/05/19 12:46:00 AM,17.189,,,,
233,11/05/19 01:46:00 AM,16.618,,,,
234,11/05/19 02:46:00 AM,15.855,,,,
235,11/05/19 03:46:00 AM,14.709,,,,
236,11/05/19 04:46:00 AM,14.900,,,,
237,11/05/19 05:46:00 AM,13.269,,,,
238,11/05/19 06:46:00 AM,14.613,,,,
239,11/05/19 07:46:00 AM,18.521,,,,
240,11/05/19 08:46:00 AM,20.424,,,,
241,11/05/19 09:46:00 AM,22.429,,,,
242,11/05/19 10:46:00 AM,23.966,,,,
243,11/05/19 11:46:00 AM,23.869,,,,
244,11/05/19 12:46:00 PM,25.416,,,,
245,11/05/19 01:46:00 PM,26.585,,,,
246,11/05/19 02:46:00 PM,26.977,,,,
247,11/05/19 03:46:00 PM,27.370,,,,
248,11/05/19 04:46:00 PM,26.488,,,,
249,11/05/19 05:46:00 PM,26.977,,,,
250,11/05/19 06:46:00 PM,22.046,,,,
251,11/05/19 07:46:00 PM,16.903,,,,
252,11/05/19 08:46:00 PM,15.282,,,,
253,11/05/19 09:46:00 PM,15.855,,,,
254,11/05/19 10:46:00 PM,15.282,,,,
255,11/05/19 11:46:00 PM,14.134,,,,
256,11/06/19 12:46:00 AM,13.076,,,,
