"Plot Title: r4"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10075968, SEN S/N: 10075968)","Evento, unidades (LGR S/N: 10075968, SEN S/N: 10075968)","Coupler Attached (LGR S/N: 10075968)","Coupler Detached (LGR S/N: 10075968)","Stopped (LGR S/N: 10075968)","End Of File (LGR S/N: 10075968)"
170,11/04/19 01:14:34 PM,,96.00,,,,
171,11/04/19 01:15:34 PM,,97.00,,,,
172,11/04/19 01:16:50 PM,,98.00,,,,
173,11/04/19 01:18:18 PM,,99.00,,,,
174,11/04/19 01:20:14 PM,,100.00,,,,
175,11/04/19 01:22:19 PM,,101.00,,,,
176,11/04/19 01:22:20 PM,,102.00,,,,
177,11/04/19 01:25:48 PM,,103.00,,,,
178,11/04/19 01:28:46 PM,,104.00,,,,
179,11/04/19 01:32:13 PM,,105.00,,,,
180,11/04/19 01:35:32 PM,,106.00,,,,
181,11/04/19 01:38:42 PM,,107.00,,,,
182,11/04/19 01:41:26 PM,,108.00,,,,
183,11/04/19 01:45:31 PM,,109.00,,,,
184,11/04/19 01:48:51 PM,,110.00,,,,
185,11/04/19 01:52:22 PM,,111.00,,,,
186,11/04/19 01:55:36 PM,,112.00,,,,
187,11/04/19 01:59:21 PM,,113.00,,,,
188,11/04/19 02:04:54 PM,,114.00,,,,
189,11/04/19 02:05:23 PM,20.329,,,,,
190,11/04/19 02:11:05 PM,,115.00,,,,
191,11/04/19 02:16:33 PM,,116.00,,,,
192,11/04/19 02:16:34 PM,,117.00,,,,
193,11/04/19 02:30:43 PM,,118.00,,,,
194,11/04/19 02:55:56 PM,,119.00,,,,
195,11/04/19 03:01:24 PM,,120.00,,,,
196,11/04/19 03:05:23 PM,19.948,,,,,
197,11/04/19 03:05:40 PM,,121.00,,,,
198,11/04/19 03:08:35 PM,,122.00,,,,
199,11/04/19 03:10:58 PM,,123.00,,,,
200,11/04/19 03:13:15 PM,,124.00,,,,
201,11/04/19 03:15:11 PM,,125.00,,,,
202,11/04/19 03:16:45 PM,,126.00,,,,
203,11/04/19 03:18:44 PM,,127.00,,,,
204,11/04/19 03:21:16 PM,,128.00,,,,
205,11/04/19 03:23:14 PM,,129.00,,,,
206,11/04/19 03:25:06 PM,,130.00,,,,
207,11/04/19 03:26:34 PM,,131.00,,,,
208,11/04/19 03:28:23 PM,,132.00,,,,
209,11/04/19 03:29:49 PM,,133.00,,,,
210,11/04/19 03:32:10 PM,,134.00,,,,
211,11/04/19 03:35:34 PM,,135.00,,,,
212,11/04/19 03:39:27 PM,,136.00,,,,
213,11/04/19 03:43:26 PM,,137.00,,,,
214,11/04/19 03:49:11 PM,,138.00,,,,
215,11/04/19 03:55:05 PM,,139.00,,,,
216,11/04/19 03:58:44 PM,,140.00,,,,
217,11/04/19 04:01:54 PM,,141.00,,,,
218,11/04/19 04:05:22 PM,,142.00,,,,
219,11/04/19 04:05:23 PM,19.567,,,,,
220,11/04/19 04:08:43 PM,,143.00,,,,
221,11/04/19 04:12:19 PM,,144.00,,,,
222,11/04/19 04:15:01 PM,,145.00,,,,
223,11/04/19 04:17:33 PM,,146.00,,,,
224,11/04/19 04:20:04 PM,,147.00,,,,
225,11/04/19 04:23:44 PM,,148.00,,,,
226,11/04/19 04:27:54 PM,,149.00,,,,
